user_id,recommended_businesses
qSTYyg_UYP1xQKVOy-7yQA,"DiBiase Heating & Cooling Company, Chef Macjon's, Arby's"
1-fmrFh1OY5U1xV-YK782A,"Lime Spa, Wedge Cheese Shop, Soak"
FGLxZRLF3a1gjM8-UOS_JA,"Hampton Inn & Suites Nashville @ Opryland, Subway, Cafe At Bobby, Michaels, Academy Sports + Outdoors"
_ywTsR_kZ681T2PyiMLFSA,"Jeni's Splendid Ice Creams, Cochon, Luke, Otaku Ramen, Rosepepper Mexican Grill"
8Lj6pkah532-jVdtr5Wtxw,"Wingfield Park, Homage, Hub Coffee Roasters, Whispering Vine Wine Bar, Midtown Eats"
YnXgIyOKCmJ-0E5g33swdQ,
v6P-wNBuz7_b3DaejKi6iQ,"The Bunker Gun Shop, Feeney's, Philadelphia Federal Credit Union"
jKWDbCV9G4-FEzjdd3PUgw,"Michael's Bar & Grill, The Gateway Arch, Serendipity Homemade Ice Cream, Red Kitchen and Bar, Strange Donuts"
sIookM05l3n-i84YcOaCvA,
3Ht-0G76gJrDxnoXVPH9FA,"Trader Joe's, Cochon, Acme Oyster House, Burger Monger, Mother's Restaurant"
peSD7qg-VecNndwpi32O4A,"Devil's Creek Brewery, Double Nickel Brewing Company, Lunacy Brewing Company, Lake House, Pegasus Restaurant"
DyWUDJsr6tuEjq1IFD10Xw,
qjQ9KoxyA7KsG8-ZW75aEQ,
beowzHMX76OAKO_1GlkyZA,"Frecon Farms, Gangster Vegan Organics, Josh's Pizza, Wawa, McDonald's"
Pl360Aa5wJEJK0evHtBfig,
TmDuo4OEslqRr24JWrR0YQ,
_SGGhutrzf0tnrxkOtcuvw,"Chili's, Shell Gas Station, United States Post Office, The Home Depot, Ruby Tuesday"
H7GvChAqsxkLWG3ghPYbHw,
LAC-9lXPvShKLlsnszDR3Q,
GJaymdQLstDBPWTsLf1v9A,"Affordable Window Tinting, Mercedes-Benz of Tucson, City of Tucson"
a1bQOqZZUDnPt0Kt6xPHZw,
AD2JBO27ce4TDUF__1Ddrw,
QmOBo3f9F65o-Kn9tSQUtQ,"The Second Cup, Foosh, Empire Theatres City Centre 9 Cinemas, Torrid, Tokyo Express"
m00Yqc9HIjFZNxfUKzz6Rw,"The Willow Tree, Scentaments Designs, Howard Rawlings Antiques"
V0P1rv_xeptSW25JqevuSA,"Black Rock Coffee Bar, Super Cleaners & Laundromat, Dunkin'"
z1f1eoRL-a5ypXznXSiGag,
FWNHxnp5SWeoWP3kD_MgiQ,
oBQ5mD9vgjJklNKuPI0Qrw,
lxGfcdyArWzB82nt1rBYqg,"PizzaRev, Flavor of India, Himalayan Kitchen"
UIPLSBmL5gT6RGRPXbjU1w,"Spiro's Pasadena Produce & Deli, Innovative Cellular, Squeeky's Car Wash, Quigley Inspection Services, Divine Dermatology"
_mdIwQjvvrS9NsEDOSCdgA,
5M7HH4QAE1pAdEIYlMXTUQ,"Calabria Brickoven Pizzeria, MoriMori, Burger Republic"
QOcVHj84ZQis8oljauDZgw,
0kMExAMZcuZumf5kdLbGvg,
OOvyY0lOe7D4n_GkbRnlxw,"Num Num Boba, Bubble Tea Station Cafe, Tealeaf Cafe, Flowing Tide Pub 1, Jimmy John's"
